Inputs,1,2,3,4,5,7,8,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,24,27,28,Expected Interfaces,output from Cpipe,24,25,28,29,30,input to Cpipe,32,33,36,37,38
Snoop sent - no modified data but still evict,26,1,CLWB,e,X,SNP_RSP,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,done,0,FastGo_ExtCmp(core_logic_id),0,EvctCln,0,0,X,0,0,0,CmpU,0
Snoop sent - no modified data - no evict,27,1,CLWB,f,X,X,RspIHit.*/RspFlushed,E,X,D,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,g,snoop(cv_vector),0,0,0,0,0,SNP_RSP,snoop_response(cv_vector),snoop_response_data(only_from_cv_vector),0,0,0
Snoop sent - no modified data - no evict,28,1,CLWB,f,X,X,RspSHitFSE/RspSI,E,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,g,snoop(cv_vector),0,0,0,0,0,SNP_RSP,snoop_response(cv_vector),snoop_response_data(only_from_cv_vector),0,0,0
Snoop sent - no modified data - no evict,29,1,CLWB,f,X,X,RspIHit.*/RspFlushed,E,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,EvctClnThrottle=1,g,snoop(cv_vector),0,0,0,0,0,SNP_RSP,snoop_response(cv_vector),snoop_response_data(only_from_cv_vector),0,0,0
Snoop sent - no modified data - no evict,30,1,CLWB,f,X,X,RspIHit.*/RspFlushed,E,X,X,1,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,g,snoop(cv_vector),0,0,0,0,0,SNP_RSP,snoop_response(cv_vector),snoop_response_data(only_from_cv_vector),0,0,0
Snoop sent - no modified data - no evict,31,1,CLWB,g,X,SNP_RSP,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,done,0,FastGo_ExtCmp(core_logic_id),0,0,0,0,X,0,0,0,0,0
Snoop sent - modified data fill,32,1,CLWB,f,X,X,RspIFwdMO/RspSFwdMO,X,X,X,X,X,1,X,X,X,X,X,X,X,X,X,X,X,X,X,j,snoop(cv_vector),0,0,0,0,0,SNP_RSP,snoop_response(cv_vector),snoop_response_data(only_from_cv_vector),0,0,0
Snoop sent - modified data fill,33,1,CLWB,f,X,X,X,M,X,X,X,X,1,X,X,X,X,X,X,X,X,X,X,X,X,X,j,snoop(cv_vector),0,0,0,0,0,SNP_RSP,snoop_response(cv_vector),snoop_response_data(only_from_cv_vector),0,0,0
Snoop sent - modified data fill,34,1,CLWB,j,X,SNP_RSP,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,k,0,FastGo(core_logic_id),0,0,WbMtoE,0,CmpU,0,0,0,CmpU,0
Snoop sent - modified data fill,35,1,CLWB,k,X,CmpU,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,done,0,ExtCmp(core_logic_id),0,0,0,0,X,0,0,0,0,0
