Inputs,1,2,3,4,5,7,8,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,24,27,28,Expected Interfaces,output from Cpipe,24,25,28,29,30,input to Cpipe,32,33,36,37,38
Flow Section,Row Number,Row Enable ,Flow ,Bubble,Sad,Curr Opcode,Snoop response,LLC State,CV,Map,MonHit,CN,AvailData,SelfSnoop,SnoopConflict,FwdCnfltO,FreeInvWay,HadReject,CleanEvict,DeadDBP,ReqCV,SRP_en,SRP_HR_Fill,HadBogus,Pref_Promotion,MiscCondition,Next Bubble,IDI_U2C_REQ,IDI_U2C_RSP,IDI_U2C_DATA,UXI_C2U_REQ,UXI_C2U_DATA,UXI_C2U_RSP,CPIPE_REQ,IDI_C2U_RSP,IDI_C2U_DATA,UXI_U2C_REQ,UXI_U2C_RSP,UXI_U2C_DATA
Data found - dont need to evict ,16,1,Drd/Drd_NS/Drd_Opt/DRd_Pref/DRd_Opt_Pref/DRdPTE,c,HOM,X,!RspNack,X,X,D,1,X,1,X,X,X,X,X,X,X,X,X,X,X,X,X,d,snoop(cv_vector),0,0,0,0,0,SNP_RSP,snoop_response(cv_vector),snoop_response_data(only_from_cv_vector),0,0,0
Data found - dont need to evict ,17,1,Drd/Drd_NS/Drd_Opt/DRd_Pref/DRd_Opt_Pref/DRdPTE,c,HOM,X,Rsp.*FwdFE,X,X,X,1,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,d,snoop(cv_vector),0,0,0,0,0,SNP_RSP,snoop_response(cv_vector),snoop_response_data(only_from_cv_vector),0,0,0
Data found - dont need to evict ,18,1,Drd/Drd_NS/Drd_Opt/DRd_Pref/DRd_Opt_Pref/DRdPTE,d,HOM,SNP_RSP,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,Done,0,GO(core_logic_id),data(core_logic_id),0,0,0,X,0,0,0,0,0
Data found - need to evict,19,1,Drd/Drd_NS/Drd_Opt/DRd_Pref/DRd_Opt_Pref/DRdPTE,c,HOM,X,RspIFwdMO,X,X,X,X,1,0,X,X,X,X,X,X,X,X,X,X,X,X,X,t,snoop(cv_vector),0,0,0,0,0,SNP_RSP,snoop_response(cv_vector),snoop_response_data(only_from_cv_vector),0,0,0
Data found - need to evict,20,1,Drd/Drd_NS/Drd_Opt/DRd_Pref/DRd_Opt_Pref/DRdPTE,c,HOM,X,RspSFwdMO,X,X,X,X,X,0,X,X,X,X,X,X,X,X,X,X,X,X,X,t,snoop(cv_vector),0,0,0,0,0,SNP_RSP,snoop_response(cv_vector),snoop_response_data(only_from_cv_vector),0,0,0
Data found - need to evict,21,1,Drd/Drd_NS/Drd_Opt/DRd_Pref/DRd_Opt_Pref/DRdPTE,c,HOM,X,RspIFwdMO,X,X,X,1,0,0,X,X,X,X,X,X,X,X,X,X,X,X,X,t,snoop(cv_vector),0,0,0,0,0,SNP_RSP,snoop_response(cv_vector),snoop_response_data(only_from_cv_vector),0,0,0
Need to evict,22,1,Drd/Drd_NS/Drd_Opt/DRd_Pref/DRd_Opt_Pref/DRdPTE,t,HOM,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,h,0,GO(core_logic_id),data(core_logic_id),0,0,0,FakeCycle,0,0,0,0,0
Need to evict,23,1,Drd/Drd_NS/Drd_Opt/DRd_Pref/DRd_Opt_Pref/DRdPTE,h,HOM,FakeCycle,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,Done ,0,0,0,0,WbMtoE,0,X,0,0,0,CmpU,0
Data found non alloc no monitor ,24,1,Drd/Drd_NS/Drd_Opt/DRd_Pref/DRd_Opt_Pref/DRdPTE,c,HOM,X,RspIFwd.*/RspSFwdFE,X,X,X,0,0,X,X,X,X,X,X,X,X,X,X,X,X,X,X,f,snoop(cv_vector),0,0,0,0,0,SNP_RSP,snoop_response(cv_vector),snoop_response_data(only_from_cv_vector),0,0,0
Data found non alloc no monitor ,25,1,Drd/Drd_NS/Drd_Opt/DRd_Pref/DRd_Opt_Pref/DRdPTE,c,HOM,X,RspSFwdMO,X,X,X,0,0,1,X,X,X,X,X,X,X,X,X,X,X,X,X,f,snoop(cv_vector),0,0,0,0,0,SNP_RSP,snoop_response(cv_vector),snoop_response_data(only_from_cv_vector),0,0,0
Data found non alloc no monitor ,26,1,Drd/Drd_NS/Drd_Opt/DRd_Pref/DRd_Opt_Pref/DRdPTE,c,HOM,X,RspS/RspI/RspIhitFSE/RspIHitI/RspSHitFSE/RspSI/RspFlushed,X,X,D,0,0,X,X,X,X,X,X,X,X,X,X,X,X,X,X,f,snoop(cv_vector),0,0,0,0,0,SNP_RSP,snoop_response(cv_vector),snoop_response_data(only_from_cv_vector),0,0,0
Data found non alloc no monitor ,27,1,Drd/Drd_NS/Drd_Opt/DRd_Pref/DRd_Opt_Pref/DRdPTE,f,HOM,SNP_RSP,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,Done,0,GO(core_logic_id),data(core_logic_id),0,0,0,X,0,0,0,0,0
no data found ,28,1,Drd/Drd_NS/Drd_Opt/DRd_Pref/DRd_Opt_Pref/DRdPTE,c,HOM,X,RspS/RspI/RspIhitFSE/RspIHitI/RspSHitFSE/RspSI/RspFlushed,X,X,SF,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,read from memory,snoop(cv_vector),0,0,0,0,0,SNP_RSP,snoop_response(cv_vector),0,0,0,0
LLC Miss ,29,1,Drd/Drd_NS/Drd_Opt/DRd_Pref/DRd_Opt_Pref/DRdPTE,first,HOM,DRd/DRd_NS/DRd_Opt/DRd_Pref/DRd_Opt_Pref/DRdPTE,X,LLC_I,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,had_promotion=0,read from memory,0,0,0,0,0,0,X,0,0,0,0,0
